,song,artist
669,Whatever It Takes,Imagine Dragons
670,Mine,Bazzi
671,Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR
672,Be Careful,Cardi B
673,Wait,Maroon 5
674,Violent Crimes,Kanye West
675,I Thought About Killing You,Kanye West
676,Heaven,Kane Brown
677,Back To You,Selena Gomez
678,I'm Upset,Drake
679,Better Now,Post Malone
680,Plug Walk,Rich The Kid
681,No Mistakes,Kanye West
682,Delicate,Taylor Swift
683,One Kiss,Calvin Harris & Dua Lipa
684,Freaky Friday,Lil Dicky Featuring Chris Brown
685,Tequila,Dan + Shay
686,Love Lies,Khalid & Normani
687,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
688,Pray For Me,The Weeknd & Kendrick Lamar
689,One Number Away,Luke Combs
690,Chun-Li,Nicki Minaj
691,TATI,6ix9ine Featuring DJ SPINKING
692,Fake Love,BTS
693,All Girls Are The Same,Juice WRLD
694,Finesse,Bruno Mars & Cardi B
695,Sad!,XXXTENTACION
696,Call Out My Name,The Weeknd
697,I Like Me Better,Lauv
698,IDGAF,Dua Lipa
699,Simple,Florida Georgia Line
700,Get Along,Kenny Chesney
701,X,Nicky Jam x J Balvin
702,Up Down,Morgan Wallen Featuring Florida Georgia Line
703,Taste,Tyga Featuring Offset
704,KOD,J. Cole
705,Done For Me,Charlie Puth Featuring Kehlani
706,You Make It Easy,Jason Aldean
707,Ball For Me,Post Malone Featuring Nicki Minaj
708,Sit Next To Me,Foster The People
709,Dura,Daddy Yankee
710,Esskeetit,Lil Pump
711,Powerglide,Rae Sremmurd & Juicy J
712,Japan,Famous Dex
713,"Woman, Amen",Dierks Bentley
714,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta
715,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
716,Overdose,YoungBoy Never Broke Again
717,Alone,Halsey Featuring Big Sean & Stefflon Don
718,Mercy,Brett Young
719,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks
720,I Lived It,Blake Shelton
721,Welcome To The Party,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward"
722,Lovely,Billie Eilish & Khalid
723,OTW,"Khalid, Ty Dolla $ign & 6LACK"
724,Must've Never Met You,Luke Combs
725,Zombie,Bad Wolves
726,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
727,Drip,Cardi B Featuring Migos
728,Humility,Gorillaz Featuring George Benson
729,I Was Jack (You Were Diane),Jake Owen
730,Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West
731,Rich & Sad,Post Malone
732,Africa,Weezer
733,Shoota,Playboi Carti Featuring Lil Uzi Vert
734,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
735,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert
736,Lust,Lil Skies
737,Paranoid,Post Malone
738,Singles You Up,Jordan Davis
739,Youngblood,5 Seconds Of Summer
740,El Farsante,Ozuna & Romeo Santos
741,New Freezer,Rich The Kid Featuring Kendrick Lamar
742,Sin Pijama,Becky G + Natti Natasha
743,Take Back Home Girl,Chris Lane Featuring Tori Kelly
744,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
745,Mask Off,Future
746,Something Just Like This,The Chainsmokers & Coldplay
747,Stay,Zedd & Alessia Cara
748,XO TOUR Llif3,Lil Uzi Vert
749,Body Like A Back Road,Sam Hunt
750,Issues,Julia Michaels
751,2U,David Guetta Featuring Justin Bieber
752,It Ain't Me,Kygo x Selena Gomez
753,Now Or Never,Halsey
754,Castle On The Hill,Ed Sheeran
755,iSpy,KYLE Featuring Lil Yachty
756,Bad Liar,Selena Gomez
757,Slow Hands,Niall Horan
758,Malibu,Miley Cyrus
759,Rolex,Ayo & Teo
760,Location,Khalid
761,Sign Of The Times,Harry Styles
762,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
763,In Case You Didn't Know,Brett Young
764,DNA.,Kendrick Lamar
765,Magnolia,Playboi Carti
766,Slippery,Migos Featuring Gucci Mane
767,Everyday We Lit,YFN Lucci Featuring PnB Rock
768,Goosebumps,Travis Scott
769,Tunnel Vision,Kodak Black
770,T-Shirt,Migos
771,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black
772,Hurricane,Luke Combs
773,Strip That Down,Liam Payne Featuring Quavo
774,Passionfruit,Drake
775,Slide,Calvin Harris Featuring Frank Ocean & Migos
776,The Fighter,Keith Urban Featuring Carrie Underwood
777,The Cure,Lady Gaga
778,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys
779,Craving You,Thomas Rhett Featuring Maren Morris
780,To The Max,DJ Khaled Featuring Drake
781,Look At Me!,XXXTENTACION
782,Crying In The Club,Camila Cabello
783,First Day Out,Tee Grizzley
784,How Not To,Dan + Shay
785,You Look Good,Lady Antebellum
786,My Girl,Dylan Scott
787,Every Time I Hear That Song,Blake Shelton
788,Swish Swish,Katy Perry Featuring Nicki Minaj
789,If I Told You,Darius Rucker
790,Cold,Maroon 5 Featuring Future
791,Felices Los 4,Maluma
792,Portland,Drake Featuring Quavo & Travis Scott
793,Drinkin' Problem,Midland
794,Privacy,Chris Brown
795,Love Galore,SZA Featuring Travis Scott
796,Down,Fifth Harmony Featuring Gucci Mane
797,Flatliner,Cole Swindell
798,Weak,AJR
799,Loyalty.,Kendrick Lamar Featuring Rihanna
800,Yours If You Want It,Rascal Flatts
801,Small Town Boy,Dustin Lynch
802,No Promises,Cheat Codes Featuring Demi Lovato
803,No Such Thing As A Broken Heart,Old Dominion
804,Do I Make You Wanna,Billy Currington
805,Losin Control,Russ
806,Butterfly Effect,Travis Scott
807,Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert
808,Heavy,Linkin Park Featuring Kiiara
809,4 AM,2 Chainz Featuring Travis Scott
810,Bon Appetit,Katy Perry Featuring Migos
811,Black,Dierks Bentley
812,Most Girls,Hailee Steinfeld
813,Escapate Conmigo,Wisin Featuring Ozuna
814,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul"
815,Somebody Else Will,Justin Moore
816,Nobody Else But You,Trey Songz
817,What Ifs,Kane Brown Featuring Lauren Alaina
818,Good Drank,2 Chainz x Gucci Mane x Quavo
819,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko"
820,Hometown Girl,Josh Turner
821,Gyalchester,Drake
822,Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo"
823,It Ain't My Fault,Brothers Osborne
824,"Thank U, Next",Ariana Grande
825,Mo Bamba,Sheck Wes
826,ZEZE,Kodak Black Featuring Travis Scott & Offset
827,Drip Too Hard,Lil Baby & Gunna
828,Breathin,Ariana Grande
829,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
830,Trip,Ella Mai
831,MIA,Bad Bunny Featuring Drake
832,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
833,Money,Cardi B
834,Natural,Imagine Dragons
835,Leave Me Alone,Flipp Dinero
836,Beautiful,Bazzi Featuring Camila Cabello
837,Broken,lovelytheband
838,God Is A Woman,Ariana Grande
839,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz
840,In My Feelings,Drake
841,Speechless,Dan + Shay
842,Uproar,Lil Wayne
843,Lose It,Kane Brown
844,She Got The Best Of Me,Luke Combs
845,Nonstop,Drake
846,Ring,Cardi B Featuring Kehlani
847,Dangerous,Meek Mill Featuring Jeremih & PnB Rock
848,Best Shot,Jimmie Allen
849,Lie,NF
850,Drunk Me,Mitchell Tenpenny
851,BAD!,XXXTENTACION
852,Armed And Dangerous,Juice WRLD
853,Lost In Japan,Shawn Mendes X Zedd
854,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
855,MAMA,6ix9ine Featuring Nicki Minaj & Kanye West
856,KIKA,6ix9ine Featuring Tory Lanez
857,You Say,Lauren Daigle
858,STOOPID,6ix9ine Featuring Bobby Shmurda
859,TIC TOC,6ix9ine Featuring Lil Baby
860,Fine China,Future & Juice WRLD
861,Be Alright,Dean Lewis
862,Topanga,Trippie Redd
863,That's On Me,Yella Beezy
864,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
865,Come Out And Play,Billie Eilish
866,10 Freaky Girls,Metro Boomin Featuring 21 Savage
867,WAKA,6ix9ine Featuring A Boogie Wit da Hoodie
868,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD
869,No Stylist,French Montana Featuring Drake
870,Burning Man,Dierks Bentley Featuring Brothers Osborne
871,Talk To Me,Tory Lanez & Rich The Kid
872,Backin' It Up,Pardison Fontaine Featuring Cardi B
873,Consequences,Camila Cabello
874,I'm A Mess,Bebe Rexha
875,Hangin' On,Chris Young
876,Dip,Tyga & Nicki Minaj
877,Good Girl,Dustin Lynch
878,This Feeling,The Chainsmokers Featuring Kelsea Ballerini
879,Ella Quiere Beber,Anuel AA & Romeo Santos
880,Never Recover,Lil Baby & Gunna Featuring Drake
881,BEBE,6ix9ine Featuring Anuel AA
882,Rich,Maren Morris
883,Sixteen,Thomas Rhett
884,Blue Tacoma,Russell Dickerson
885,You,Jacquees
886,Space Cadet,Metro Boomin Featuring Gunna
887,Last Shot,Kip Moore
888,Best Part,Daniel Caesar Featuring H.E.R.
889,Girl Like You,Jason Aldean
890,Don't Come Out The House,Metro Boomin Featuring 21 Savage
891,Ocean Eyes,Billie Eilish
892,I Love It,Kanye West & Lil Pump
893,Falling Down,Lil Peep & XXXTENTACION
894,Noticed,Lil Mosey
895,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
896,Rake It Up,Yo Gotti Featuring Nicki Minaj
897,Praying,Kesha
898,Do Re Mi,blackbear
899,Walk On Water,Eminem Featuring Beyonce
900,Fix A Drink,Chris Janson
901,It's Everyday Bro,Jake Paul Featuring Team 10
902,Go Flex,Post Malone
903,Beautiful Trauma,P!nk
904,Legends,Kelsea Ballerini
905,Total Eclipse Of The Heart,Chloe Kohanski
906,Perro Fiel,Shakira Featuring Nicky Jam
907,4 Your Eyez Only,J. Cole
908,She's Mine Pt. 2,J. Cole
909,False Prophets,J. Cole
910,Everybody Dies,J. Cole
911,Come And See Me,PARTYNEXTDOOR Featuring Drake
912,Darlin' Don't Go,Sundance Head
913,Deja Vu,Post Malone Featuring Justin Bieber
914,At Last,Sundance Head
915,Setting The World On Fire,Kenny Chesney Featuring P!nk
916,Die For You,The Weeknd
917,My Sh*t,A Boogie Wit da Hoodie
918,Sex With Me,Rihanna
919,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign
920,Peek A Boo,Lil Yachty Featuring Migos
921,Met Gala,Gucci Mane Featuring Offset
922,Scared To Be Lonely,Martin Garrix & Dua Lipa
923,Human,Rag'n'Bone Man
924,Hit The Quan,iLoveMemphis
925,Purpose,Justin Bieber
926,Liquor,Chris Brown
927,Stick Talk,Future
928,The Feeling,Justin Bieber Featuring Halsey
929,Zero,Chris Brown
930,Jugg,Fetty Wap Featuring Monty
931,Baby Shark,Pinkfong
932,Make It Sweet,Old Dominion
933,Mixed Personalities,YNW Melly Featuring Kanye West
934,Shot Clock,Ella Mai
935,I'm So Tired...,Lauv & Troye Sivan
936,Paradise,Bazzi
937,You Should See Me In A Crown,Billie Eilish
938,SOS,Avicii Featuring Aloe Blacc
939,Wish You Were Gay,Billie Eilish
940,That's A Rack,Lil Uzi Vert
941,Rule The World,2 Chainz Featuring Ariana Grande
942,Die Young,Roddy Ricch
943,Juice,Lizzo
944,Hot Boy,Bobby Shmurda
945,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj
946,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih"
947,Dear Future Husband,Meghan Trainor
948,Only One,Kanye West Featuring Paul McCartney
949,Glory,Common & John Legend
950,No Love,August Alsina
951,I Mean It,G-Eazy Featuring Remo
952,Love Is Your Name,Steven Tyler
953,Bad For You,Meek Mill Featuring Nicki Minaj
954,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn
955,Smoke,A Thousand Horses
956,Brother,NEEDTOBREATHE Featuring Gavin DeGraw
957,Humble And Kind,Tim McGraw
958,What The World Needs Now Is Love,Broadway For Orlando
959,Ain't No Stopping Us Now,Kane Brown
960,Ophelia,The Lumineers
961,Kiss It Better,Rihanna
962,All The Stars,Kendrick Lamar & SZA
963,A$AP Forever,A$AP Rocky Featuring Moby
964,Infrared,Pusha T
965,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake"
966,If You Know You Know,Pusha T
967,What Would Meek Do?,Pusha T Featuring Kanye West
968,Youth,Shawn Mendes Featuring Khalid
969,Dinero,Jennifer Lopez Featuring DJ Khaled & Cardi B
970,For The First Time,Darius Rucker
971,Most People Are Good,Luke Bryan
972,Everyday,Logic & Marshmello
973,Spoil My Night,Post Malone Featuring Swae Lee
974,Moonlight,XXXTENTACION
975,The Games We Play,Pusha T
976,Bohemian Rhapsody,Queen
977,Take One,Kodak Black
978,W O R K I N  M E,Quavo
979,Lucky You,Eminem Featuring Joyner Lucas
980,Mona Lisa,Lil Wayne Featuring Kendrick Lamar
981,Twerk,City Girls Featuring Cardi B
982,Electricity,Silk City x Dua Lipa
983,Desperate Man,Eric Church
984,Millionaire,Chris Stapleton
985,Burn The House Down,AJR
986,Tiimmy Turner,Desiigner
987,Black Barbies,Nicki Minaj X Mike WiLL Made-It
988,Secrets,The Weeknd
989,Me And Your Mama,Childish Gambino
990,Home,gnash Featuring Johnny Yukon
991,True Colors,The Weeknd
992,Middle Of A Memory,Cole Swindell
993,Rockin',The Weeknd
994,All I Know,The Weeknd Featuring Future
995,That's My Girl,Fifth Harmony
996,False Alarm,The Weeknd
997,Attention,The Weeknd
998,Ordinary Life,The Weeknd
999,What They Want,Russ
1000,Awful Things,Lil Peep
1001,Relationship,Young Thug Featuring Future
1002,Every Little Thing,Carly Pearce
1003,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha"
1004,Glorious,Macklemore Featuring Skylar Grey
1005,Questions,Chris Brown
1006,No Smoke,YoungBoy Never Broke Again
1007,The Rest Of Our Life,Tim McGraw & Faith Hill
1008,Paris,The Chainsmokers
1009,Somethin Tells Me,Bryson Tiller
1010,Me Enamore,Shakira
1011,Self-Made,Bryson Tiller
1012,Don't Get Too High,Bryson Tiller
1013,Run Me Dry,Bryson Tiller
1014,There For You,Martin Garrix x Troye Sivan
1015,Element.,Kendrick Lamar
1016,No Longer Friends,Bryson Tiller
1017,Strangers,Halsey Featuring Lauren Jauregui
1018,Hallelujah,Lindsey Stirling
1019,Little More (Royalty),Chris Brown
1020,Budapest,George Ezra
1021,Coffee,Miguel
1022,Know Yourself,Drake
1023,Flashlight,Jessie J
1024,Stolen Dance,Milky Chance
1025,Rather Be,Clean Bandit Featuring Jess Glynne
1026,Somewhere In My Car,Keith Urban
1027,Close Your Eyes,Parmalee
1028,Best Friends,Sophia Grace
1029,Blank Space,I Prevail
1030,Neon Light,Blake Shelton
1031,Somewhere On A Beach,Dierks Bentley
1032,Messin' Around,Pitbull Featuring Enrique Iglesias
1033,Sweatshirt,Jacob Sartorius
1034,With You,Drake Featuring PARTYNEXTDOOR
1035,Might Not,Belly Featuring The Weeknd
1036,Faded,Alan Walker
1037,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
1038,Power Is Power,"SZA, The Weeknd & Travis Scott"
1039,Middle Child,PnB Rock & XXXTENTACION
1040,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
1041,Secreto,Anuel AA & Karol G
1042,Faucet Failure,Ski Mask The Slump God
1043,Change Lanes,Kevin Gates
1044,Like That,Kris Wu
1045,Southside,Lil Baby
1046,Let It Sing,Kevin Gates
1047,Sangria Wine,Pharrell Williams x Camila Cabello
1048,Champion,NAV Featuring Travis Scott
1049,Red Roses,Lil Skies Featuring Landon Cube
1050,Stay,Post Malone
1051,ATM,J. Cole
1052,Kevin's Heart,J. Cole
1053,No Excuses,Meghan Trainor
1054,Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty
1055,Outside Today,YoungBoy Never Broke Again
1056,Downtown's Dead,Sam Hunt
1057,Don't Go Breaking My Heart,Backstreet Boys
1058,Love Scars 3,Trippie Redd
1059,Bad Liar,Imagine Dragons
1060,Always Remember Us This Way,Lady Gaga
1061,Negative Energy,Trippie Redd Featuring Kodie Shane
1062,I'll Never Love Again,Lady Gaga
1063,Toxic Waste,Trippie Redd
1064,Drew Barrymore,Bryce Vine
1065,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone
1066,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy
1067,Female,Keith Urban
1068,Call It What You Want,Taylor Swift
1069,Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo"
1070,Gorgeous,Taylor Swift
1071,Smooth,Florida Georgia Line
1072,The Plan,G-Eazy
1073,Patek Water,Future & Young Thug Featuring Offset
1074,Deja Vu,Lauren Duski
1075,Money On You,Chris Blue
1076,Chained To The Rhythm,Katy Perry Featuring Skip Marley
1077,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld
1078,Rollin,Calvin Harris Featuring Future & Khalid
1079,The Dance,Lauren Duski
1080,Boy,Lee Brice
1081,El Amante,Nicky Jam
1082,Either Way,Chris Stapleton
1083,My Old Man,Zac Brown Band
1084,Any Ol' Barstool,Jason Aldean
1085,Stargirl Interlude,The Weeknd Featuring Lana Del Rey
1086,Nothing Without You,The Weeknd
1087,A Lonely Night,The Weeknd
1088,Love To Lay,The Weeknd
1089,Distraction,Kehlani
1090,A Little More Summertime,Jason Aldean
1091,We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda
1092,Look Alive,Rae Sremmurd
1093,Fade,Kanye West
1094,Capsize,Frenship & Emily Warren
1095,One Last Time,Ariana Grande
1096,No Sleeep,Janet Featuring J. Cole
1097,Energy,Drake
1098,Wild Child,Kenny Chesney With Grace Potter
1099,I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi"
1100,B**** I'm Madonna,Madonna Featuring Nicki Minaj
1101,Pretty Girls,Britney Spears & Iggy Azalea
1102,Like I Can,Sam Smith
1103,Check,Young Thug
1104,Mary Did You Know,Jordan Smith
1105,Drag Me Down,One Direction
1106,Burning House,Emily Ann Roberts
1107,Climb Every Mountain,Jordan Smith
1108,Back To Back,Drake
1109,Nothin' Like You,Dan + Shay
1110,Strip It Down,Luke Bryan
1111,God Only Knows,Jordan Smith & Adam Levine
1112,Somebody To Love,Jordan Smith
1113,Middle,DJ Snake Featuring Bipolar Sunshine
1114,My Church,Maren Morris
1115,Snapback,Old Dominion
1116,Nothing Is Promised,Mike WiLL Made-It x Rihanna
1117,Mind Reader,Dustin Lynch
1118,Formation,Beyonce
1119,Feel No Ways,Drake
1120,Law,Yo Gotti Featuring E-40
1121,Piece By Piece,Kelly Clarkson
1122,Moolah,Young Greatness
1123,Youth,Troye Sivan
1124,Floating,ScHoolboy Q Featuring 21 Savage
1125,CHopstix,ScHoolboy Q + Travis Scott
1126,Light It Up,"Marshmello, Tyga & Chris Brown"
1127,Numb Numb Juice,ScHoolboy Q
1128,Love Me Anyway,P!nk Featuring Chris Stapleton
1129,Stop Snitching,YG
1130,Kill This Love,BLACKPINK
1131,Stir Fry,Migos
1132,Me Niego,Reik Featuring Ozuna & Wisin
1133,Over Now,Post Malone
1134,Zack And Codeine,Post Malone
1135,Same Bitches,Post Malone Featuring G-Eazy & YG
1136,Cry Pretty,Carrie Underwood
1137,Takin' Shots,Post Malone
1138,92 Explorer,Post Malone
1139,Say Something,Justin Timberlake Featuring Chris Stapleton
1140,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller
1141,My Choppa Hate N****s,21 Savage & Metro Boomin
1142,Pray,Sam Smith Featuring Logic
1143,Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage
1144,Mad Stalkers,"21 Savage, Offset & Metro Boomin"
1145,Nightmare,Offset & Metro Boomin
1146,The Weekend,Brantley Gilbert
1147,Prblms,6LACK
1148,Yeah Boy,Kelsea Ballerini
1149,Good Life,G-Eazy & Kehlani
1150,Cake,Flo Rida & 99 Percent
1151,Ghost In This House,Lauren Duski
1152,Trumpets,Jason Derulo
1153,Anaconda,Nicki Minaj
1154,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan
1155,Try,Colbie Caillat
1156,Something Big,Shawn Mendes
1157,In Your Arms,Nico & Vinz
1158,Bed Of Lies,Nicki Minaj Featuring Skylar Grey
1159,Yellow Flicker Beat,Lorde
1160,Overdue,Metro Boomin Featuring Travis Scott
1161,Last Memory,TakeOff
1162,Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott
1163,No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage"
1164,Promises,Calvin Harris & Sam Smith
1165,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
1166,Hotel Key,Old Dominion
1167,Killshot,Eminem
1168,Casper,TakeOff
1169,Up To Something,Metro Boomin Featuring Travis Scott & Young Thug
1170,My Boo,Ghost Town DJ's
1171,If It Ain't Love,Jason Derulo
1172,9,Drake
1173,Mark My Words,Justin Bieber
1174,Already Callin' You Mine,Parmalee
1175,Random,G-Eazy
1176,Company,Justin Bieber
1177,No Pressure,Justin Bieber Featuring Big Sean
1178,Sorry,Rick Ross Featuring Chris Brown
1179,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez
1180,Love On The Weekend,John Mayer
1181,My Way,Calvin Harris
1182,Ain't My Fault,Zara Larsson
1183,Move,Luke Bryan
1184,Key To The Streets,YFN Lucci Featuring Migos & Trouble
1185,Slumber Party,Britney Spears Featuring Tinashe
1186,Vice,Miranda Lambert
1187,Litty,Meek Mill Featuring Tory Lanez
1188,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO
1189,Kill A Word,Eric Church Featuring Rhiannon Giddens
1190,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis
1191,Infinite,Eminem
1192,Parachute,Chris Stapleton
1193,80s Mercedes,Maren Morris
1194,Bartier Cardi,Cardi B Featuring 21 Savage
1195,Barbie Tingz,Nicki Minaj
1196,Otherside,Post Malone
1197,Blame It On Me,Post Malone
1198,Diamond Teeth Samurai,YoungBoy Never Broke Again
1199,Famous,Mason Ramsey
1200,I Do,Cardi B Featuring SZA
1201,Preach,YoungBoy Never Broke Again
1202,Heartache On The Dance Floor,Jon Pardi
1203,B.E.D.,Jacquees
1204,Too Hotty,"Quavo, Takeoff & Offset"
1205,All The Pretty Girls,Kenny Chesney
1206,More Girls Like You,Kip Moore
1207,High End,Chris Brown Featuring Future & Young Thug
1208,Slide,French Montana Featuring Blueface & Lil Tjay
1209,Saturday Nights,Khalid & Kane Brown
1210,Pure Cocaine,Lil Baby
1211,This Is It,Scotty McCreery
1212,My Strange Addiction,Billie Eilish
1213,Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara
1214,Xanny,Billie Eilish
1215,One That Got Away,Michael Ray
